톤급,구간,연도,대당_편도운임_원,자료구분,출처
1톤 초과~3톤 미만,수도권-대구권,2022 2분기,172000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권-대구권,2023 2분기,N/A,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권-대구권,2024 2분기,N/A,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권-대구권,2025 2분기,158000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권-대전권,2022 2분기,138333,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권-대전권,2023 2분기,140682,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권-대전권,2024 2분기,152632,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권-대전권,2025 2분기,151111,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권내,2022 2분기,88506,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권내,2023 2분기,97136,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권내,2024 2분기,86679,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,수도권내,2025 2분기,96214,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,부산권내,2022 2분기,92778,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,부산권내,2023 2분기,88000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,부산권내,2024 2분기,105000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
1톤 초과~3톤 미만,부산권내,2025 2분기,90000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-부산권,2022 2분기,350741,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-부산권,2023 2분기,307500,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-부산권,2024 2분기,271750,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-부산권,2025 2분기,336000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-광주권,2022 2분기,316667,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-광주권,2023 2분기,N/A,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-광주권,2024 2분기,-,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-광주권,2025 2분기,240000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-대구권,2022 2분기,286875,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-대구권,2023 2분기,N/A,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-대구권,2024 2분기,266667,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-대구권,2025 2분기,250000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-대전권,2022 2분기,172778,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-대전권,2023 2분기,169787,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-대전권,2024 2분기,186154,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권-대전권,2025 2분기,176667,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권내,2022 2분기,120676,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권내,2023 2분기,122638,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권내,2024 2분기,118154,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,수도권내,2025 2분기,106270,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,부산권내,2022 2분기,99423,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,부산권내,2023 2분기,110435,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,부산권내,2024 2분기,110517,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
3톤 이상~5톤 미만,부산권내,2025 2분기,113333,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-부산권,2022 2분기,378136,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-부산권,2023 2분기,407795,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-부산권,2024 2분기,338868,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-부산권,2025 2분기,378421,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-광주권,2022 2분기,367375,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-광주권,2023 2분기,N/A,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-광주권,2024 2분기,N/A,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-광주권,2025 2분기,294000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-대구권,2022 2분기,300854,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-대구권,2023 2분기,292778,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-대구권,2024 2분기,309400,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-대구권,2025 2분기,299605,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-대전권,2022 2분기,190000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-대전권,2023 2분기,194597,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-대전권,2024 2분기,229107,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권-대전권,2025 2분기,208095,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권내,2022 2분기,156818,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권내,2023 2분기,162647,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권내,2024 2분기,146441,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,수도권내,2025 2분기,145946,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,부산권내,2022 2분기,128529,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,부산권내,2023 2분기,150948,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,부산권내,2024 2분기,132097,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
5톤 이상~8톤 미만,부산권내,2025 2분기,130000,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-부산권,2022 2분기,486744,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-부산권,2023 2분기,485857,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-부산권,2024 2분기,451394,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-부산권,2025 2분기,440500,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-광주권,2022 2분기,449783,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-광주권,2023 2분기,410947,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
8톤 이상~12톤 미만,수도권-광주권,2024 2분기,N/A,조사 평균운임,"한국교통연구원·화물복지재단, 2025 화물자동차 운송·주선업체 조사보고서, 표 V-6~V-11"
